config_id,repeat,best_cost_minutes,found_at_iteration,execution_time,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
8,1,1188.5872846999998,2173,45.43,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,2,1215.4341596333331,2271,47.23,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,3,1289.1926530833332,1017,21.11,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,4,1173.300231,1633,33.97,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,5,1206.43643375,1732,36.3,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,6,1248.4958356166667,1081,22.57,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,7,1202.1477556833336,2878,59.89,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,8,1272.6027439,1287,26.76,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,9,1206.4972255166665,1243,26.03,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
8,10,1220.6701752166664,1466,30.42,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
9,1,1340.7456460833334,1169,24.38,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,2,1310.6229408166664,1965,40.72,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,3,1225.3077305333331,1860,38.55,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,4,1309.0833971,1150,23.97,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,5,1286.6975530666666,2455,51.28,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,6,1217.7334941666668,1242,26.2,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,7,1270.960125516667,1590,33.02,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
